           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
    1926.104696 [0000]  rcu_preempt[17]                     7.990      0.005      0.003 
    1926.104696 [0003]  <idle>                              0.006      0.000    202.799 
    1926.104709 [0003]  kworker/u12:4-e[2061]               0.000      0.008      0.012 
    1926.112689 [0000]  <idle>                              0.003      0.000      7.993 
    1926.112692 [0000]  rcu_preempt[17]                     7.993      0.004      0.003 
    1926.136694 [0001]  <idle>                              0.004      0.000     33.421 
    1926.136710 [0001]  kworker/1:1-eve[8804]             235.973      0.007      0.015 
    1926.136720 [0001]  <idle>                              0.015      0.000      0.010 
    1926.136726 [0001]  kworker/1:1-eve[8804]               0.010      0.005      0.005 
    1926.154938 [0001]  <idle>                              0.005      0.000     18.212 
    1926.154945 [0001]  kubelet[1871/1862]                 59.061      0.003      0.006 
    1926.155356 [0001]  <idle>                              0.006      0.000      0.410 
    1926.155360 [0001]  kubelet[1863/1862]                 52.082      0.003      0.004 
    1926.155997 [0001]  <idle>                              0.004      0.000      0.636 
    1926.156008 [0002]  <idle>                              0.375      0.000     60.098 
    1926.156017 [0002]  kubelet[1866/1862]                 60.098      0.006      0.008 
    1926.156031 [0001]  kubelet[1871/1862]                  1.051      0.003      0.034 
    1926.165414 [0001]  <idle>                              0.034      0.000      9.382 
    1926.165419 [0001]  kubelet[1863/1862]                 10.053      0.004      0.005 
    1926.170442 [0002]  <idle>                              0.008      0.000     14.425 
    1926.170492 [0002]  gnome-shell[1240]                 100.097      0.004      0.050 
    1926.193073 [0002]  <idle>                              0.050      0.000     22.580 
    1926.193085 [0002]  kubelet[1866/1862]                 37.055      0.006      0.012 
    1926.193484 [0001]  <idle>                              0.005      0.000     28.064 
    1926.193489 [0001]  kubelet[1863/1862]                 28.064      0.004      0.004 
    1926.194136 [0002]  <idle>                              0.012      0.000      1.051 
    1926.194147 [0001]  <idle>                              0.004      0.000      0.658 
    1926.194154 [0001]  kubelet[1871/1862]                 38.115      0.004      0.007 
    1926.194176 [0002]  kubelet[1866/1862]                  1.051      0.005      0.039 
    1926.203542 [0001]  <idle>                              0.007      0.000      9.387 
    1926.203546 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1926.222207 [0001]  <idle>                              0.004      0.000     18.660 
    1926.222213 [0001]  kubelet[1871/1862]                 28.052      0.003      0.006 
    1926.223013 [0001]  <idle>                              0.006      0.000      0.800 
    1926.223017 [0001]  kubelet[1863/1862]                 19.466      0.003      0.004 
    1926.223264 [0001]  <idle>                              0.004      0.000      0.247 
    1926.223275 [0002]  <idle>                              0.039      0.000     29.098 
    1926.223278 [0001]  kubelet[1871/1862]                  1.051      0.003      0.013 
    1926.223280 [0002]  kubelet[1866/1862]                 29.098      0.005      0.005 
    1926.232690 [0000]  <idle>                              0.003      0.000    119.997 
    1926.232696 [0000]  kcompactd0[47]                      0.000      0.005      0.005 
    1926.233070 [0001]  <idle>                              0.013      0.000      9.791 
    1926.233074 [0001]  kubelet[1863/1862]                 10.052      0.003      0.004 
    1926.255330 [0001]  <idle>                              0.004      0.000     22.256 
    1926.255336 [0001]  kubelet[1871/1862]                 32.052      0.003      0.005 
    1926.256080 [0001]  <idle>                              0.005      0.000      0.743 
    1926.256084 [0001]  kubelet[1863/1862]                 23.005      0.003      0.004 
    1926.256388 [0001]  <idle>                              0.004      0.000      0.304 
    1926.256398 [0002]  <idle>                              0.005      0.000     33.117 
    1926.256405 [0002]  kubelet[1866/1862]                 33.117      0.004      0.006 
    1926.256419 [0001]  kubelet[1871/1862]                  1.051      0.003      0.030 
    1926.266137 [0001]  <idle>                              0.030      0.000      9.718 
    1926.266142 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1926.270590 [0002]  <idle>                              0.006      0.000     14.185 
    1926.270627 [0002]  gnome-shell[1240]                 100.097      0.004      0.036 
    1926.293460 [0002]  <idle>                              0.036      0.000     22.832 
    1926.293471 [0002]  kubelet[1866/1862]                 37.055      0.005      0.011 
    1926.294225 [0001]  <idle>                              0.004      0.000     28.083 
